FC1,del eLC,del eRC,del ALC,del ARC,del RC
dv,1.73445E+00,1.73445E+00,-7.70872E-01,-7.70872E-01,0.00000E+00
dh,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
dal,-8.87653E-02,-8.87653E-02,-4.11926E-02,-4.11926E-02,0.00000E+00
dbe,-1.19803E-02,1.19803E-02,0.00000E+00,0.00000E+00,5.38700E-02
dphi,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
dth,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
dpsi,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
dp,7.96795E+00,-7.96795E+00,1.91835E+01,-1.91835E+01,6.08828E+00
dq,-6.05267E+00,-6.50267E+00,-1.22131E-01,-1.22131E-01,0.00000E+00
dr,1.0751E+00,-1.0751E+00,5.8548E-01,-5.8548E-01,-4.30492E+00
