FC1,del eLC,del eRC,del ALC,del ARC,del RC
dv,1.73E+00,1.73E+00,-7.71E-01,-7.71E-01,0.00E+00
dh,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dal,-8.88E-02,-8.88E-02,-4.12E-02,-4.12E-02,0.00E+00
dbe,-1.20E-02,1.20E-02,0.00E+00,0.00E+00,5.39E-02
dphi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dth,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dpsi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dp,7.97E+00,-7.97E+00,1.92E+01,-1.92E+01,6.09E+00
dq,-6.05E+00,-6.50E+00,-1.22E-01,-1.22E-01,0.00E+00
dr,1.08E+00,-1.08E+00,5.85E-01,-5.85E-01,-4.30E+00
