FC6,v,h,al,be,phi,th,psi,p,q,r
dv,-1.53E-02,1.85E-04,-1.95E+01,1.32E+01,-2.93E-01,-3.21E+01,0.00E+00,1.40E-02,-5.59E-04,-6.96E-02
dh,0.00E+00,0.00E+00,-1.39E+03,0.00E+00,1.27E+01,1.39E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dal,-2.14E-05,8.76E-07,-5.63E-01,6.65E-02,0.00E+00,0.00E+00,0.00E+00,8.87E-03,9.95E-01,1.68E-05
dbe,6.27E-06,3.97E-08,-7.05E-02,-4.21E-01,2.30E-02,-2.11E-04,0.00E+00,4.09E-02,4.39E-05,-9.94E-01
dphi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
dth,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
dpsi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
dp,4.13E-03,5.45E-05,4.49E+01,-1.91E+02,0.00E+00,0.00E+00,0.00E+00,-1.74E+00,3.08E-01,2.60E+00
dq,2.17E-03,6.06E-06,-2.21E+01,3.81E+00,0.00E+00,0.00E+00,0.00E+00,8.89E-02,-1.22E+00,2.41E-01
dr,-7.84E-04,-3.79E-06,-7.55E+00,1.88E+01,0.00E+00,0.00E+00,0.00E+00,7.01E-02,-6.82E-02,-9.66E-01
